frame,frame_ms,environment_step_ms,width,height
0,16.6676025,0.0223,1280,720
1,16.6674042,0.0228,1280,720
2,16.6667938,0.0194,1280,720
3,16.6659012,0.0199,1280,720
4,16.6702023,0.0199,1280,720
5,16.666,0.0284,1280,720
6,16.6678982,0.028,1280,720
7,16.665596,0.0301,1280,720
8,16.6641,0.0226,1280,720
9,16.6663971,0.0177,1280,720
10,17.2963,0.0177,1280,720
11,16.6649017,0.028,1280,720
12,16.6671982,0.0248,1280,720
13,16.6693039,0.029,1280,720
14,16.6651,0.0216,1280,720
15,16.6666946,0.021,1280,720
16,16.6653061,0.021,1280,720
17,16.6689,0.0265,1280,720
18,16.6665955,0.0247,1280,720
19,16.6654053,0.0222,1280,720
20,16.6691971,0.0263,1280,720
21,16.6652985,0.0222,1280,720
22,16.665802,0.0222,1280,720
23,16.7805977,0.0211,1280,720
24,16.667305,0.023,1280,720
25,16.667,0.0229,1280,720
26,16.6658955,0.0222,1280,720
27,16.667305,0.0221,1280,720
28,16.6664963,0.0221,1280,720
29,16.667,0.024,1280,720
30,16.666,0.0224,1280,720
31,16.6672058,0.0206,1280,720
32,16.6658955,0.021,1280,720
33,16.6731014,0.0309,1280,720
34,16.6639042,0.0309,1280,720
35,16.8798962,0.0305,1280,720
36,16.6654,0.0223,1280,720
37,16.6687,0.0252,1280,720
38,16.9609051,0.0285,1280,720
39,16.7122955,0.0241,1280,720
40,16.6676025,0.0269,1280,720
41,16.667305,0.0269,1280,720
42,16.6658955,0.028,1280,720
43,16.6678,0.0258,1280,720
44,16.6661,0.0328,1280,720
45,17.1009,0.0246,1280,720
46,16.6666031,0.0267,1280,720
47,16.6647949,0.0267,1280,720
48,16.6654053,0.0254,1280,720
49,16.6671982,0.0247,1280,720
50,16.6662979,0.0226,1280,720
51,16.6686,0.0274,1280,720
52,16.870203,0.025,1280,720
53,16.6674957,0.025,1280,720
54,16.6639042,0.0284,1280,720
55,16.6676025,0.0224,1280,720
56,16.7813988,0.0185,1280,720
57,16.668,0.0197,1280,720
58,16.6671982,0.0221,1280,720
59,16.6668015,0.0221,1280,720
60,16.6664963,0.0236,1280,720
61,16.6664047,0.0215,1280,720
62,16.6668015,0.0185,1280,720
63,16.6689,0.0227,1280,720
64,16.6637974,0.0204,1280,720
65,16.6703014,0.0204,1280,720
66,16.6652,0.0246,1280,720
67,16.6661987,0.0201,1280,720
68,16.6682034,0.0206,1280,720
69,16.6646976,0.0165,1280,720
70,16.6683025,0.0195,1280,720
71,16.6677933,0.0195,1280,720
72,16.6657028,0.0245,1280,720
73,16.6689,0.024,1280,720
74,16.6668015,0.023,1280,720
75,16.6681976,0.0247,1280,720
76,16.6674042,0.0252,1280,720
77,16.6642017,0.0252,1280,720
78,16.6662979,0.0235,1280,720
79,16.6662979,0.0213,1280,720
80,16.6692028,0.024,1280,720
81,16.6636982,0.0199,1280,720
82,16.6669,0.0196,1280,720
83,16.6668015,0.0196,1280,720
84,16.6669,0.0218,1280,720
85,16.665802,0.0197,1280,720
86,16.6689,0.0199,1280,720
87,16.6688,0.0253,1280,720
88,16.6656952,0.023,1280,720
89,16.6712017,0.023,1280,720
90,16.6689,0.0392,1280,720
91,16.662302,0.028,1280,720
92,16.6715,0.0328,1280,720
93,16.6648026,0.0339,1280,720
94,16.6663971,0.0321,1280,720
95,16.6605015,0.0321,1280,720
96,16.6661987,0.017,1280,720
97,16.6668015,0.0128,1280,720
98,16.6689,0.0173,1280,720
99,16.6685028,0.0211,1280,720
100,16.6642017,0.0171,1280,720
101,16.6676941,0.0171,1280,720
102,16.6663055,0.021,1280,720
103,16.6672974,0.0184,1280,720
104,16.7783012,0.0169,1280,720
105,16.6681976,0.0187,1280,720
106,16.6671982,0.0184,1280,720
107,16.6659012,0.0184,1280,720
108,16.6678,0.0217,1280,720
109,16.6656036,0.0148,1280,720
110,16.6684952,0.018,1280,720
111,16.6685028,0.0235,1280,720
112,16.6635971,0.0171,1280,720
113,16.9943027,0.0171,1280,720
114,16.6662979,0.0216,1280,720
115,16.6676025,0.0205,1280,720
116,16.6654,0.0179,1280,720
117,16.6678,0.0196,1280,720
118,16.6663971,0.0174,1280,720
119,16.6666031,0.0174,1280,720
120,16.6666031,0.0204,1280,720
121,16.6665955,0.0172,1280,720
122,16.6674042,0.0181,1280,720
123,16.667099,0.0177,1280,720
124,16.6657963,0.0171,1280,720
125,16.6675014,0.0171,1280,720
126,16.6689,0.0241,1280,720
127,16.6643982,0.017,1280,720
128,16.6683025,0.0211,1280,720
129,16.6646976,0.017,1280,720
130,16.6680069,0.0183,1280,720
131,16.6682968,0.0183,1280,720
132,16.6962013,0.0742,1280,720
133,16.6666946,0.0221,1280,720
134,16.6666031,0.0198,1280,720
135,16.666,0.0195,1280,720
136,16.7902985,0.02,1280,720
137,16.6661,0.02,1280,720
138,16.6703014,0.0217,1280,720
139,16.6635971,0.0186,1280,720
140,16.6698971,0.0245,1280,720
141,16.6986046,0.0197,1280,720
142,16.666,0.0175,1280,720
143,16.6668015,0.0175,1280,720
144,16.6672974,0.0194,1280,720
145,16.666,0.0156,1280,720
146,16.667,0.0162,1280,720
147,16.6692963,0.0188,1280,720
148,16.6641,0.0162,1280,720
149,16.6682034,0.0162,1280,720
150,16.8056,0.0196,1280,720
151,16.6672974,0.0184,1280,720
152,16.6657028,0.0162,1280,720
153,16.6684036,0.0182,1280,720
154,16.6654,0.0137,1280,720
155,16.6678,0.0137,1280,720
156,16.6666946,0.0174,1280,720
157,16.6656036,0.0153,1280,720
158,16.6676025,0.018,1280,720
159,16.7742977,0.0162,1280,720
160,16.6664963,0.016,1280,720
161,16.6667023,0.016,1280,720
162,16.667099,0.0188,1280,720
163,16.667099,0.0167,1280,720
164,16.7846012,0.0159,1280,720
165,16.6663971,0.0242,1280,720
166,16.6678982,0.0168,1280,720
167,16.6669,0.0168,1280,720
168,16.6669,0.0182,1280,720
169,16.6667023,0.0176,1280,720
170,16.6683025,0.0158,1280,720
171,16.6674957,0.0319,1280,720
172,16.6843052,0.0148,1280,720
173,16.666893,0.0148,1280,720
174,16.6667023,0.0181,1280,720
175,16.666,0.015,1280,720
176,16.6666031,0.0147,1280,720
177,16.6680984,0.0157,1280,720
178,16.6666031,0.0128,1280,720
179,16.6658955,0.0128,1280,720
180,16.6672058,0.0178,1280,720
181,16.6665955,0.0132,1280,720
182,16.6683025,0.0168,1280,720
183,16.6648941,0.0124,1280,720
184,16.6665039,0.0122,1280,720
185,16.6680984,0.0122,1280,720
186,16.6666031,0.0179,1280,720
187,16.6668015,0.0131,1280,720
188,16.6675949,0.0171,1280,720
189,16.6692028,0.0195,1280,720
190,16.6652985,0.0179,1280,720
191,16.665802,0.0179,1280,720
192,16.6693935,0.0227,1280,720
193,16.8032036,0.0204,1280,720
194,16.6664963,0.0212,1280,720
195,16.6675014,0.0209,1280,720
196,16.6681976,0.0254,1280,720
197,16.6847019,0.0254,1280,720
198,16.6476059,0.0223,1280,720
199,16.6648941,0.0164,1280,720
200,16.6705017,0.0208,1280,720
201,16.6654,0.0179,1280,720
202,16.6666031,0.0168,1280,720
203,16.6671982,0.0168,1280,720
204,16.666,0.0225,1280,720
205,16.6665039,0.0172,1280,720
206,16.6696014,0.0208,1280,720
207,16.6652,0.0184,1280,720
208,16.6680984,0.0189,1280,720
209,16.6652985,0.0189,1280,720
210,16.6672974,0.0212,1280,720
211,16.667,0.0191,1280,720
212,16.6669,0.0188,1280,720
213,16.6659012,0.0173,1280,720
214,16.6675014,0.0179,1280,720
215,16.667,0.0179,1280,720
216,16.6662979,0.0201,1280,720
217,16.6668015,0.0174,1280,720
218,16.667,0.0184,1280,720
219,16.668,0.0204,1280,720
220,16.6664047,0.0171,1280,720
221,16.6704941,0.0171,1280,720
222,16.6675014,0.0211,1280,720
223,16.665802,0.0182,1280,720
224,16.6678,0.0189,1280,720
225,16.6654,0.0162,1280,720
226,16.6689968,0.0202,1280,720
227,16.6654,0.0202,1280,720
228,16.6663055,0.0189,1280,720
229,16.6666946,0.0168,1280,720
230,16.6677017,0.0189,1280,720
231,16.6675014,0.0206,1280,720
232,16.6646976,0.0194,1280,720
233,16.6669,0.0194,1280,720
234,16.6689,0.0224,1280,720
235,16.6655045,0.0159,1280,720
236,16.6671982,0.0153,1280,720
237,16.6662979,0.0155,1280,720
238,16.6659012,0.0151,1280,720
239,16.6668015,0.0151,1280,720
240,16.6676025,0.0178,1280,720
241,16.6664963,0.0166,1280,720
242,16.6671982,0.0183,1280,720
243,16.6667023,0.0152,1280,720
244,16.6677017,0.0171,1280,720
245,16.665802,0.0171,1280,720
246,16.6664963,0.017,1280,720
